"species","SVL_cm","TL_cm","Ventrals","Subcaudals","Head._Length_mm","Head_Width_mm","Body_Width_mm","N_scales_bordering_L_parietals","N_scales_bordering_R_parietals","White_Ventral_Annuli_Bordering_Ventral_Black","Ventral_Annuli_In_BlackBand","X.Dorsal_Annuli_OR_juvenile_dorsal_black_bands","Ventral_Black_Bands","Ventral_Lower_Lower_ScCount","Ventral_Black_Upper_ScCount","Ventral_Orange_Lower_ScCount","Ventral_Orange_Upper_ScCount","Temporal_Pigmentation","Annulus.on.dorsal.black.tail.bands","Upper.temporal.divided"
"mcclungi",3.83837646525985,0.708035793053696,5.39816270151775,2.70805020110221,2.43361335540045,1.84213567655312,2.02243017589544,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,3.78418963391826,3.13549421592915,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"mcclungi",3.79548918917219,0.746687947487975,5.39362754635236,2.77258872223978,2.38600670113312,1.88555334851442,1.99651272871865,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,3.87120101090789,3.17805383034795,1.6094379124341,1.79175946922805,1.38629436111989,1.6094379124341,1.09861228866811,0.693147180559945,1.38629436111989
"mcclungi",3.72810016726722,0.928219302739429,5.39362754635236,2.83321334405622,2.35137525716348,1.87180217690159,2.13100563269242,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,4.06044301054642,3.09104245335832,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,1.09861228866811
"mcclungi",3.71259598073125,0.959350221334602,5.25749537202778,2.99573227355399,2.48823443988067,1.93007108502557,2.30258509299405,1.38629436111989,1.38629436111989,1.38629436111989,1.09861228866811,3.40119738166216,2.77258872223978,1.79175946922805,2.07944154167984,1.38629436111989,1.79175946922805,1.09861228866811,0.693147180559945,1.09861228866811
"cf_mcclungi",3.60549784517489,0.955511445027436,5.44673737166631,3.17805383034795,2.33891702224144,1.83418018511201,2.20937271127187,1.38629436111989,1.09861228866811,0.693147180559945,1.38629436111989,3.8286413964891,3.2188758248682,0.693147180559945,1.09861228866811,1.79175946922805,1.94591014905531,1.09861228866811,1.6094379124341,0.693147180559945
"cf_mcclungi",3.66509892544853,0.99694863489161,5.43372200355424,2.99573227355399,2.33214389523559,1.66013102674962,2.03731661537916,1.09861228866811,1.09861228866811,0.693147180559945,1.38629436111989,3.8286413964891,3.2188758248682,1.09861228866811,1.38629436111989,1.79175946922805,1.94591014905531,1.09861228866811,1.6094379124341,0.693147180559945
"calligaster",3.84374416467485,0.783901543828409,5.56452040732269,2.77258872223978,2.41858876875035,1.95586047990848,1.96477863331297,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,4.04305126783455,3.40119738166216,0.693147180559945,1.09861228866811,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"cf_mcclungi",3.8323302365189,1.08518926833597,5.44673737166631,3.09104245335832,2.32922702394047,1.86562931779451,2.04035415292846,1.09861228866811,1.09861228866811,0.693147180559945,1.38629436111989,3.95124371858143,3.29583686600433,1.09861228866811,1.09861228866811,1.79175946922805,1.94591014905531,1.09861228866811,1.38629436111989,1.38629436111989
"calligaster",3.75349609719991,0.966983846189673,5.4249500174814,2.89037175789616,2.53051716104005,1.94591014905531,2.20350113480695,1.38629436111989,1.09861228866811,0.693147180559945,0.693147180559945,3.98898404656427,3.3322045101752,0,1.09861228866811,1.79175946922805,2.07944154167984,1.09861228866811,0.693147180559945,1.38629436111989
"cf_mcclungi",3.52841723167288,0.883767540168595,5.44241771052179,3.04452243772342,2.13416644136908,1.71559810826249,1.91741268810465,1.09861228866811,1.09861228866811,0.693147180559945,1.6094379124341,3.85014760171006,3.2188758248682,0.693147180559945,1.09861228866811,1.79175946922805,1.94591014905531,1.09861228866811,0.693147180559945,0.693147180559945
